!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:59:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.5238,0.018210284
109500000,-166.36128,0.013196838
119000000,-166.31967,0.012255263
128500000,-166.2643,0.013389004
138000000,-166.23657,0.01661176
147500000,-165.80824,0.013414546
157000000,-166.26559,0.016649587
166500000,-166.15977,0.016021317
176000000,-166.14743,0.01604243
185500000,-166.15198,0.015812147
195000000,-166.14386,0.015327792
204500000,-166.08148,0.014401316
214000000,-166.0849,0.013500409
223500000,-166.04005,0.012584793
233000000,-165.99207,0.011940681
242500000,-165.94037,0.011411618
252000000,-165.92329,0.011037043
261500000,-165.91316,0.010679734
271000000,-165.92462,0.010419117
280500000,-165.94325,0.010257225
290000000,-165.95534,0.010204817
299500000,-165.94582,0.010294842
309000000,-165.96715,0.010831368
318500000,-165.94635,0.011440399
328000000,-165.87946,0.011694777
337500000,-165.9106,0.011531314
347000000,-165.75247,0.008848683
356500000,-165.75446,0.0098967934
366000000,-165.78874,0.0097998353
375500000,-165.93562,0.0099509722
385000000,-166.00005,0.0098286215
394500000,-165.95958,0.0094689578
404000000,-165.90572,0.0092981756
413500000,-165.88216,0.0094834035
423000000,-165.78603,0.0095058559
432500000,-165.71216,0.0097073382
442000000,-165.66786,0.010002608
451500000,-165.64857,0.010293339
461000000,-165.58504,0.010175066
470500000,-165.6106,0.010266472
480000000,-165.64531,0.010215102
489500000,-165.66545,0.0099787097
499000000,-165.69882,0.0097696455
508500000,-165.71494,0.0094906418
518000000,-165.71262,0.0091671403
527500000,-165.68513,0.0088452958
537000000,-165.68629,0.008730812
546500000,-165.64513,0.0085324841
556000000,-165.60759,0.0084146196
565500000,-165.55832,0.0083163828
575000000,-165.47984,0.0081643276
584500000,-165.40735,0.0080351569
594000000,-165.35316,0.007941395
603500000,-165.31026,0.0078771338
613000000,-165.30629,0.0078970343
622500000,-165.33669,0.0079797292
632000000,-165.34584,0.0079150517
641500000,-165.342,0.0077878516
651000000,-165.35698,0.0077001872
660500000,-165.39008,0.0076962803
670000000,-165.41418,0.0076758503
679500000,-165.44853,0.0077570681
689000000,-165.50214,0.0079682041
698500000,-165.51863,0.008113795
708000000,-165.55191,0.008381661
717500000,-165.5575,0.0086149666
727000000,-165.55775,0.0087905126
736500000,-165.49837,0.0086677698
746000000,-165.50801,0.008683864
755500000,-165.51468,0.010297801
765000000,-165.46436,0.010639889
774500000,-165.42569,0.011002123
784000000,-165.42343,0.011452983
793500000,-165.42258,0.011812543
803000000,-165.32037,0.0115052
812500000,-165.26866,0.011337074
822000000,-165.25635,0.011272965
831500000,-165.27019,0.011277005
841000000,-165.26926,0.011157084
850500000,-165.25629,0.010986693
860000000,-165.24702,0.010826039
869500000,-165.22595,0.010637458
879000000,-165.22121,0.010565057
888500000,-165.24048,0.010655481
898000000,-165.24805,0.010717541
907500000,-165.24088,0.010743076
917000000,-165.2274,0.010753829
926500000,-165.2121,0.010781543
936000000,-165.19566,0.010805949
945500000,-165.19376,0.010866443
955000000,-165.19766,0.01094163
964500000,-165.15962,0.010769212
974000000,-165.10393,0.010480324
983500000,-165.08095,0.010274169
993000000,-165.06491,0.010085959
1002500000,-165.05096,0.0098910583
1012000000,-165.01909,0.0096224137
1021500000,-164.99069,0.0093645528
1031000000,-164.94905,0.0090820091
1040500000,-164.882,0.0087526878
1050000000,-164.9171,0.0088662952
1059500000,-164.95406,0.0090178745
1069000000,-164.97934,0.0091470135
1078500000,-164.98445,0.009234135
1088000000,-164.99612,0.0093599847
1097500000,-165.01447,0.009525978
1107000000,-165.03569,0.0096996501
1116500000,-165.06503,0.0098932702
1126000000,-165.09821,0.010070912
1135500000,-165.0569,0.0098497048
1145000000,-165.048,0.0097040609
1154500000,-165.0632,0.0096120164
1164000000,-165.11745,0.0096051935
1173500000,-165.10312,0.0092348708
1183000000,-165.0479,0.008702131
1192500000,-164.99266,0.0081814341
1202000000,-164.90237,0.0076107634
1211500000,-164.8223,0.007139653
1221000000,-164.79333,0.0068867113
1230500000,-164.74208,0.0066028764
1240000000,-164.67113,0.0062960638
1249500000,-164.56735,0.0059524635
1259000000,-164.59703,0.0060154675
1268500000,-164.61755,0.0060782996
1278000000,-164.6313,0.0061319908
1287500000,-164.63657,0.0061740363
1297000000,-164.63419,0.0062080286
1306500000,-164.64653,0.0062654447
1316000000,-164.6794,0.0063531273
1325500000,-164.72713,0.0064639868
1335000000,-164.7706,0.0065281051
1344500000,-164.73117,0.0062741181
1354000000,-164.71472,0.006055973
1363500000,-164.69554,0.0058357618
1373000000,-164.6713,0.0056107505
1382500000,-164.66104,0.0054446887
1392000000,-164.62405,0.0052573346
