!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 22:14:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1615.525,0.51254231
109500000,1676.0271,0.38559818
119000000,1693.0576,0.36153439
128500000,1713.6375,0.40004772
138000000,1723.3672,0.49951899
147500000,1903.2931,0.44518986
157000000,1712.9415,0.49732241
166500000,1755.4799,0.49035847
176000000,1761.5083,0.49240384
185500000,1759.5515,0.48482752
195000000,1763.6388,0.47085434
204500000,1789.342,0.44879463
214000000,1786.4403,0.42038849
223500000,1805.9841,0.39594486
233000000,1828.3341,0.37985355
242500000,1846.7285,0.36736998
252000000,1855.3282,0.35671192
261500000,1860.6731,0.34596974
271000000,1852.301,0.336638
280500000,1844.4137,0.32998776
290000000,1840.5609,0.32739007
299500000,1844.3137,0.3310034
309000000,1836.4476,0.34654719
318500000,1842.6594,0.36779049
328000000,1872.6842,0.38180327
337500000,1859.4159,0.37377709
347000000,1929.3616,0.29745799
356500000,1927.653,0.33253956
366000000,1909.6149,0.32669154
375500000,1845.1058,0.32069793
385000000,1817.6296,0.31209147
394500000,1833.212,0.30348501
404000000,1858.9202,0.30173081
413500000,1867.3502,0.30941555
423000000,1911.6639,0.31708983
432500000,1944.6934,0.3293649
442000000,1963.8982,0.34286278
451500000,1972.2502,0.35439852
461000000,2003.0309,0.35548967
470500000,1989.2693,0.3565782
480000000,1971.4231,0.3519702
489500000,1965.6501,0.34223393
499000000,1949.3131,0.3324984
508500000,1941.8136,0.32180724
518000000,1945.1534,0.3110036
527500000,1957.8761,0.30199027
537000000,1955.3387,0.29800132
546500000,1971.9647,0.29400569
556000000,1990.4302,0.29246134
565500000,2014.8973,0.29234576
575000000,2049.3301,0.2922335
584500000,2081.6494,0.29245082
594000000,2111.001,0.29266739
603500000,2129.7363,0.29318169
613000000,2134.1824,0.29419032
622500000,2117.7412,0.2951974
632000000,2115.6309,0.2921882
641500000,2116.4526,0.28774807
651000000,2111.3821,0.28352833
660500000,2094.781,0.28123307
670000000,2081.2808,0.27893433
679500000,2063.4133,0.27966464
689000000,2041.4423,0.28375331
698500000,2031.5083,0.28784266
708000000,2016.093,0.29507533
717500000,2012.7209,0.30289939
727000000,2016.451,0.30905238
736500000,2042.9926,0.30893263
746000000,2037.9675,0.30881956
755500000,2032.4681,0.36565426
765000000,2059.3386,0.38220373
774500000,2074.2937,0.39875096
784000000,2077.7544,0.4153069
793500000,2079.0244,0.42842963
803000000,2125.2156,0.42721871
812500000,2149.4097,0.4260191
822000000,2158.6191,0.42481264
831500000,2151.4297,0.42361233
841000000,2151.8809,0.41919738
850500000,2157.0728,0.41402987
860000000,2165.5054,0.40884712
869500000,2174.1501,0.4036797
879000000,2175.3367,0.4013699
888500000,2165.7786,0.40301344
898000000,2164.2598,0.40465486
907500000,2166.6873,0.40628844
917000000,2172.4175,0.40795839
926500000,2180.3267,0.41045442
936000000,2188.0237,0.41294247
945500000,2189.7805,0.41543782
955000000,2186.4805,0.41793606
964500000,2209.0049,0.41496938
974000000,2232.4976,0.40904954
983500000,2247.9695,0.40313002
