!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:22:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.49384,79.43396
109500000,-174.11044,78.667252
119000000,-173.81909,77.951561
128500000,-173.6292,77.44487
138000000,-173.39119,76.787743
147500000,-171.48862,70.163399
157000000,-173.80855,78.081924
166500000,-173.14604,76.211792
176000000,-173.00995,75.829086
185500000,-173.09781,76.071274
195000000,-172.90919,75.54052
204500000,-172.9234,75.7061
214000000,-173.0912,76.380775
223500000,-173.17415,76.793297
233000000,-173.25601,77.218933
242500000,-172.9171,76.341293
252000000,-172.74165,75.846619
261500000,-172.94093,76.487633
271000000,-172.8092,76.048637
280500000,-172.78447,75.917877
290000000,-172.75468,75.795876
299500000,-172.73308,75.785591
309000000,-172.81808,76.064949
318500000,-172.55348,75.171501
328000000,-172.21997,74.014885
337500000,-172.46442,74.964775
347000000,-171.79057,72.726311
356500000,-171.59299,71.760101
366000000,-171.79552,72.529091
375500000,-172.47292,74.925957
385000000,-172.9523,76.544266
394500000,-172.81206,76.225189
404000000,-172.57219,75.629623
413500000,-172.72112,76.300156
423000000,-172.68611,76.394257
432500000,-172.24149,75.099388
442000000,-172.18805,75.003471
451500000,-171.97026,74.334663
461000000,-171.54378,72.776558
470500000,-171.83154,73.790031
480000000,-171.67934,73.194099
489500000,-171.70226,73.212265
499000000,-171.67104,73.031754
508500000,-171.96469,74.108315
518000000,-171.88496,73.865036
527500000,-171.62657,72.977631
537000000,-171.81242,73.717766
546500000,-171.68343,73.320999
556000000,-171.53418,72.977203
565500000,-171.66849,73.737595
575000000,-171.58818,73.716843
584500000,-171.35405,73.158226
594000000,-171.24823,73.055168
603500000,-171.27989,73.325172
613000000,-171.18581,72.919479
622500000,-171.39763,73.628944
632000000,-171.16885,72.780273
641500000,-171.1617,72.756592
651000000,-171.468,73.861015
660500000,-171.34944,73.34845
670000000,-171.3812,73.372612
679500000,-171.20068,72.588951
689000000,-171.45728,73.390549
698500000,-171.32338,72.752586
708000000,-171.25482,72.369743
717500000,-170.93732,70.995277
727000000,-171.07553,71.452126
736500000,-170.72025,70.006714
746000000,-170.84749,70.554375
755500000,-170.99823,71.300095
765000000,-170.80995,70.653168
774500000,-170.71118,70.363411
784000000,-170.83514,70.992447
793500000,-170.83917,71.136772
803000000,-170.54953,70.123192
812500000,-170.54204,70.275002
822000000,-170.62968,70.816879
831500000,-170.63333,71.006004
841000000,-170.67079,71.257721
850500000,-170.75215,71.663147
860000000,-170.83282,72.05793
869500000,-170.69968,71.61734
879000000,-170.65723,71.493095
888500000,-170.96487,72.674362
898000000,-170.74846,71.839432
907500000,-170.87273,72.313072
917000000,-170.73581,71.777695
926500000,-170.71762,71.718674
936000000,-170.57529,71.164749
945500000,-170.51004,70.913071
955000000,-170.5199,70.966011
964500000,-170.35211,70.379738
974000000,-170.43314,70.868149
983500000,-170.31372,70.528816
993000000,-170.55688,71.660049
1002500000,-170.58818,71.939255
1012000000,-170.56921,72.059082
1021500000,-170.67279,72.641724
1031000000,-170.63957,72.699974
1040500000,-170.66603,72.977707
1050000000,-170.7139,73.071175
1059500000,-170.6089,72.558899
1069000000,-170.56355,72.261864
1078500000,-170.63553,72.410286
1088000000,-170.35941,71.204514
1097500000,-170.49704,71.629013
1107000000,-170.46608,71.381844
1116500000,-170.31294,70.632072
1126000000,-170.53496,71.412903
1135500000,-170.34669,70.605759
1145000000,-170.26225,70.209633
1154500000,-170.35143,70.537445
1164000000,-170.31082,70.324013
1173500000,-170.42062,71.019394
1183000000,-170.39598,71.261841
1192500000,-170.54585,72.177078
1202000000,-170.52884,72.423668
1211500000,-170.3882,72.175125
1221000000,-170.66391,73.445778
1230500000,-170.68361,73.747101
1240000000,-170.53203,73.432755
1249500000,-170.28407,72.752892
1259000000,-170.50577,73.536377
1268500000,-170.54503,73.635437
1278000000,-170.51137,73.473373
1287500000,-170.32932,72.763458
1297000000,-170.24023,72.323494
1306500000,-170.1898,71.97509
1316000000,-170.19664,71.844093
1325500000,-170.41866,72.539963
1335000000,-170.47757,72.654663
1344500000,-170.40401,72.495392
1354000000,-170.22974,71.946152
1363500000,-170.33357,72.463272
1373000000,-170.54416,73.357025
1382500000,-170.90813,74.927788
1392000000,-170.94955,75.398804
