!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:22:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.45857,0.017938668
109500000,-166.33641,0.013121571
119000000,-166.27167,0.012120499
128500000,-166.23326,0.013293553
138000000,-166.18181,0.016403759
147500000,-165.72284,0.013153337
157000000,-166.22099,0.016479731
166500000,-166.09177,0.015772395
176000000,-166.05476,0.015703823
185500000,-166.08028,0.015553126
195000000,-166.02676,0.014920007
204500000,-165.99944,0.014131908
214000000,-165.99219,0.0132154
223500000,-165.96323,0.012364281
233000000,-165.92543,0.011758816
242500000,-165.82861,0.011121655
252000000,-165.782,0.010683675
261500000,-165.81331,0.010436942
271000000,-165.79755,0.01011864
280500000,-165.80658,0.0099393968
290000000,-165.80795,0.0098642251
299500000,-165.78897,0.0099296914
309000000,-165.8022,0.010427614
318500000,-165.7617,0.010964165
328000000,-165.69669,0.01121275
337500000,-165.72234,0.011041997
347000000,-165.54175,0.0084296195
356500000,-165.5352,0.009409545
366000000,-165.58665,0.0093542011
375500000,-165.74008,0.009512797
385000000,-165.8094,0.009406467
394500000,-165.75427,0.0090316646
404000000,-165.66747,0.0088018924
413500000,-165.64354,0.0089762975
423000000,-165.58351,0.0090727806
432500000,-165.46713,0.0091747381
442000000,-165.43672,0.0094840322
451500000,-165.37502,0.0096648512
461000000,-165.28468,0.0094950926
470500000,-165.35793,0.0096862465
480000000,-165.33362,0.0095077399
489500000,-165.35272,0.0092854481
499000000,-165.35928,0.0090348767
508500000,-165.42056,0.0088685993
518000000,-165.39487,0.0085203052
527500000,-165.32607,0.0081433896
537000000,-165.35458,0.0080886809
546500000,-165.31091,0.0079004355
556000000,-165.23375,0.0077205678
565500000,-165.20633,0.0076689385
575000000,-165.13055,0.0075332951
584500000,-165.01588,0.0073425267
594000000,-164.93161,0.007206847
603500000,-164.90649,0.0071777753
613000000,-164.89734,0.0071873069
622500000,-164.95911,0.0073152417
632000000,-164.909,0.0071576289
641500000,-164.90669,0.0070450534
651000000,-164.97879,0.0070580048
660500000,-164.9711,0.0069884779
670000000,-164.99771,0.0069740354
679500000,-164.97974,0.0069633722
689000000,-165.06998,0.0072134919
698500000,-165.06918,0.0073160767
708000000,-165.07787,0.0075149415
717500000,-165.02286,0.0076171011
727000000,-165.07626,0.0078679761
736500000,-164.98169,0.0076956055
746000000,-165.01271,0.0077478634
755500000,-165.02744,0.0092049064
765000000,-164.9575,0.009467829
774500000,-164.91031,0.0097710285
784000000,-164.92119,0.01020212
793500000,-164.89868,0.010470092
803000000,-164.79077,0.01018443
812500000,-164.75673,0.010076425
822000000,-164.74771,0.010027079
831500000,-164.71689,0.0099279583
841000000,-164.70789,0.0098043038
850500000,-164.71291,0.0096944906
860000000,-164.71739,0.0095832013
869500000,-164.66914,0.0093573965
879000000,-164.65024,0.0092635257
888500000,-164.72662,0.0094664134
898000000,-164.67542,0.0093935104
907500000,-164.70705,0.0095004793
917000000,-164.67465,0.009468643
926500000,-164.66777,0.0095114103
936000000,-164.62962,0.0094855297
945500000,-164.6106,0.0095010754
955000000,-164.61078,0.0095585044
964500000,-164.54836,0.0093552023
974000000,-164.54185,0.0092079602
983500000,-164.48351,0.0089536151
993000000,-164.51823,0.0088929534
1002500000,-164.49585,0.0087042935
1012000000,-164.45357,0.0084475605
1021500000,-164.44116,0.0082515646
1031000000,-164.3961,0.007996277
1040500000,-164.36551,0.0077712247
1050000000,-164.39394,0.0078599444
1059500000,-164.39401,0.0079268645
1069000000,-164.40802,0.0080194622
1078500000,-164.45049,0.0081659146
1088000000,-164.40639,0.0081714466
1097500000,-164.46429,0.0083924644
1107000000,-164.48001,0.0085346289
1116500000,-164.46428,0.0086151026
1126000000,-164.54306,0.0088624982
1135500000,-164.50275,0.0086698225
1145000000,-164.4884,0.0085308393
1154500000,-164.51968,0.008481307
1164000000,-164.51689,0.0083647454
1173500000,-164.50174,0.0080406582
1183000000,-164.43231,0.0075521357
1192500000,-164.40706,0.0071494197
1202000000,-164.34113,0.0066882009
1211500000,-164.24979,0.0062578158
1221000000,-164.26482,0.0060976055
1230500000,-164.21939,0.0058541507
1240000000,-164.13573,0.005565892
1249500000,-164.02982,0.0052594859
1259000000,-164.08723,0.0053491211
1268500000,-164.10509,0.0054017352
1278000000,-164.10637,0.0054339035
1287500000,-164.07291,0.0054225363
1297000000,-164.07248,0.0054548774
1306500000,-164.09052,0.0055125854
1316000000,-164.1227,0.0055888453
1325500000,-164.20758,0.0057351142
1335000000,-164.2433,0.0057817809
1344500000,-164.2019,0.0055541839
1354000000,-164.13606,0.005300466
1363500000,-164.13792,0.0051325322
1373000000,-164.164,0.0049921945
1382500000,-164.17485,0.0048680245
1392000000,-164.10223,0.0046620839
1401500000,-164.02675,0.0044586845
1411000000,-163.9465,0.0042562452
1420500000,-163.87485,0.0041376594
1430000000,-163.88565,0.0042024995
1439500000,-163.90353,0.0042746169
1449000000,-163.81366,0.0042407005
1458500000,-163.79942,0.0042824205
1468000000,-163.82301,0.004481886
1477500000,-163.86269,0.0047007608
1487000000,-163.89554,0.004915568
1496500000,-164.02162,0.0052447291
1506000000,-164.09596,0.0092230253
1515500000,-164.09859,0.0090939207
1525000000,-164.1147,0.0089925863
1534500000,-164.10085,0.0088291969
1544000000,-164.16463,0.0088231117
1553500000,-164.16721,0.0086915279
1563000000,-164.19978,0.008619138
1572500000,-164.18195,0.0084362021
1582000000,-164.17439,0.0082617989
1591500000,-164.14493,0.0080472799
1601000000,-164.02208,0.0076685785
1610500000,-163.89172,0.0072921542
1620000000,-163.8176,0.0070215845
1629500000,-163.74796,0.0067650909
1639000000,-163.6132,0.0064881924
1648500000,-163.68047,0.0067037032
1658000000,-163.71422,0.0068711233
1667500000,-163.77827,0.0070900531
1677000000,-163.78694,0.0072212927
1686500000,-163.82942,0.007410496
1696000000,-163.8868,0.0076288455
1705500000,-163.94713,0.0078445645
1715000000,-163.91078,0.0077764988
1724500000,-163.89774,0.0077505149
1734000000,-163.86313,0.0076863491
1743500000,-163.8644,0.0076859356
1753000000,-163.79646,0.0075640185
1762500000,-163.82306,0.0076078586
1772000000,-163.81679,0.0075942609
1781500000,-163.78777,0.0075605232
1791000000,-163.7662,0.007541426
1800500000,-163.70995,0.0074625053
1810000000,-163.61061,0.0073114559
1819500000,-163.56296,0.0072491779
1829000000,-163.42604,0.0070411814
1838500000,-163.39491,0.007007746
1848000000,-163.43758,0.007185183
1857500000,-163.46812,0.0073761232
1867000000,-163.46852,0.0075170593
1876500000,-163.58612,0.0078674946
1886000000,-163.67583,0.008178791
1895500000,-163.72844,0.0084273759
1905000000,-163.90475,0.008931594
1914500000,-163.93317,0.0089770025
1924000000,-163.92621,0.0088215498
1933500000,-163.96031,0.0087488843
1943000000,-163.91068,0.0085088937
1952500000,-163.89465,0.0083375173
1962000000,-163.8197,0.0080571901
1971500000,-163.76003,0.0078114537
1981000000,-163.66687,0.0075349659
1990500000,-163.63641,0.0074064531
2000000000,-163.60127,0.0072715175
END

