!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:22:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-99.976128,-105.87059
109500000,-97.750328,69.291168
119000000,-99.93853,149.05949
128500000,-101.77563,169.66858
138000000,-101.71053,43.875725
147500000,-98.55616,147.12747
157000000,-98.609627,-169.42302
166500000,-99.744965,-158.89024
176000000,-100.55318,45.349899
185500000,-102.5052,147.98242
195000000,-103.14484,-8.627677
204500000,-102.20532,-126.98796
214000000,-100.70865,88.717682
223500000,-100.9938,-163.78394
233000000,-100.11322,131.58504
242500000,-100.56451,35.54707
252000000,-98.261223,55.358788
261500000,-97.239807,19.561779
271000000,-98.495125,-66.721306
280500000,-99.272911,145.67303
290000000,-99.166008,-88.260712
299500000,-96.655975,-121.29856
309000000,-99.254776,73.611626
318500000,-99.12133,48.929653
328000000,-99.158646,-156.82181
337500000,-99.416687,-39.408348
347000000,-101.53261,-106.84872
356500000,-100.52181,-60.883923
366000000,-97.788216,-110.04867
375500000,-99.772659,84.907318
385000000,-100.93118,139.668
394500000,-99.266037,-68.270584
404000000,-100.64242,78.356331
413500000,-101.31519,91.851089
423000000,-101.7966,-30.591215
432500000,-102.2224,52.394691
442000000,-99.022972,-3.0937555
451500000,-102.31106,-2.7000089
461000000,-101.43069,124.94643
470500000,-103.21082,-106.83852
480000000,-103.92025,18.829462
489500000,-101.22245,70.125824
499000000,-104.97773,-50.476616
508500000,-102.46667,-28.21241
518000000,-102.68527,-157.11961
527500000,-101.06539,97.223984
537000000,-102.73553,120.8494
546500000,-103.44086,85.822014
556000000,-101.95439,78.918442
565500000,-103.91096,14.426649
575000000,-100.96848,95.024811
584500000,-104.7338,170.57101
594000000,-102.53615,124.06178
603500000,-100.83349,-98.762909
613000000,-103.56076,86.925941
622500000,-100.86077,177.34406
632000000,-101.58187,179.86282
641500000,-102.60329,-121.99541
651000000,-103.26792,-86.276352
660500000,-102.79484,-135.5582
670000000,-103.30981,-84.724693
679500000,-102.45439,-9.1091642
689000000,-105.14907,163.22792
698500000,-103.41208,31.420179
708000000,-107.32331,116.4347
717500000,-105.07113,87.105919
727000000,-106.18572,-98.939011
736500000,-102.86536,120.53214
746000000,-105.31495,-52.512703
755500000,-102.36131,52.093792
765000000,-102.92904,31.208193
774500000,-104.05676,-73.320404
784000000,-101.40028,-176.40526
793500000,-103.79507,175.92485
803000000,-102.89791,-29.207054
812500000,-105.27122,-83.93087
822000000,-103.74249,-40.223202
831500000,-103.38673,126.90811
841000000,-103.45644,84.660439
850500000,-102.48789,-1.4474356
860000000,-104.45193,91.496468
869500000,-103.71188,-131.78958
879000000,-103.77852,174.16672
888500000,-104.0603,-0.020312136
898000000,-101.8577,71.283875
907500000,-104.99668,-151.48055
917000000,-102.66756,-86.52507
926500000,-104.48026,42.793198
936000000,-103.30299,175.8669
945500000,-105.59143,-57.617031
955000000,-105.94455,-71.8013
964500000,-102.59891,9.9344254
974000000,-105.26816,146.24789
983500000,-103.43932,172.56105
993000000,-104.09185,75.830612
1002500000,-104.42535,-153.29488
1012000000,-106.95855,42.627808
1021500000,-105.3176,53.271397
1031000000,-107.10656,-13.329695
1040500000,-109.28761,-117.73853
1050000000,-105.36399,-177.56636
1059500000,-106.11043,-139.15707
1069000000,-103.36179,-125.85785
1078500000,-107.03429,101.08508
1088000000,-105.3953,-149.32314
1097500000,-105.50811,-104.5389
1107000000,-103.72032,-28.494692
1116500000,-104.66387,97.660179
1126000000,-102.5193,-92.552795
1135500000,-103.40287,-33.994175
1145000000,-104.84438,67.612961
1154500000,-105.0956,144.80331
1164000000,-106.45077,-36.718491
1173500000,-104.7121,-39.643223
1183000000,-106.09962,62.490208
1192500000,-102.84274,50.868198
1202000000,-105.25529,175.10611
1211500000,-104.57025,-69.038414
1221000000,-105.85243,-14.165815
1230500000,-104.76737,28.662769
1240000000,-103.14168,97.979279
1249500000,-104.68372,-69.353638
1259000000,-102.59566,-140.38086
1268500000,-104.35602,-122.78731
1278000000,-103.9759,-120.55016
1287500000,-104.19329,-95.811768
1297000000,-104.8477,-130.05959
1306500000,-105.82323,-130.77963
